Taxa,Flowering_BLUE
PHN11_PHW65_0149/LH195,68.03250069575572
PHN11_PHW65_0149/PHT69,63.7982739757332
PHN11_PHW65_0154/LH195,65.91951577579476
PHN11_PHW65_0154/PHT69,63.761577009856765
PHN11_PHW65_0155/LH195,65.85261163621632
PHN11_PHW65_0155/PHT69,63.84224278124537
PHN11_PHW65_0158/LH195,66.53077192547073
PHN11_PHW65_0158/PHT69,62.84125089501633
PHN11_PHW65_0167/LH195,66.29176919114452
PHN11_PHW65_0167/PHT69,61.7327231908545
PHN11_PHW65_0168/LH195,65.59954413750695
PHN11_PHW65_0168/PHT69,64.47389603818307
PHN11_PHW65_0172/LH195,66.28383394394307
PHN11_PHW65_0172/PHT69,63.11392527771271
PHN11_PHW65_0176/LH195,65.69522694634296
PHN11_PHW65_0176/PHT69,63.68671659634664
PHN11_PHW65_0178/LH195,66.132760980306
PHN11_PHW65_0178/PHT69,63.253673912683254
PHN11_PHW65_0179/LH195,66.86079496578455
PHN11_PHW65_0179/PHT69,63.73621203831833
PHN11_PHW65_0180/LH195,65.77294798834791
